Код услуги;Наименование услуги;КСГ 1;КСГ 2;КСГ 3;КСГ 4;КСГ 5;КСГ 6;КСГ 7;КСГ 8;КСГ 9;Использовано в КСГ
A07.16.001.002;"Дистанционная гамма-терапия опухолей пищевода, желудка, двенадцатиперстной кишки";st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.16.002;"Внутриполостная лучевая терапия опухолей пищевода, желудка, двенадцатиперстной кишки";st19.078;;;;;;;;;TRUE
A07.18.001.001;Дистанционная лучевая терапия на медицинских ускорителях электронов опухолей ободочной кишки;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.18.001.002;Дистанционная гамма-терапия опухолей ободочной кишки;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.19.001.001;Дистанционная лучевая терапия на медицинских ускорителях электронов опухолей сигмовидной и прямой кишки;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.19.001.002;Дистанционная гамма-терапия опухолей сигмовидной и прямой кишки;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.19.002;Внутриполостная лучевая терапия опухолей сигмовидной и прямой кишки;st19.078;;;;;;;;;TRUE
A07.19.003;Внутритканевая лучевая терапия опухолей сигмовидной и прямой кишки;st19.078;;;;;;;;;TRUE
A07.20.001.001;Дистанционная лучевая терапия на медицинских ускорителях электронов опухолей молочной железы;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.20.001.002;Дистанционная гамма-терапия опухолей молочной железы;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.20.002;Внутритканевая лучевая терапия опухолей молочной железы;st19.078;;;;;;;;;TRUE
A07.20.002.001;Внутритканевая гамма-терапия опухолей женских половых органов;st19.078;;;;;;;;;TRUE
A07.20.003.001;Дистанционная лучевая терапия на медицинских ускорителях электронов опухолей женских половых органов;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.20.003.002;Дистанционная гамма-терапия опухолей женских половых органов;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.20.003.006;Внутриполостная гамма-терапия опухолей женских половых органов;st19.078;;;;;;;;;TRUE
A07.21.001;Дистанционная лучевая терапия опухолей мужских половых органов;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.21.001.002;Дистанционная гамма-терапия опухолей мужских половых органов;st19.075;st19.077;st19.080;st19.084;st19.086;st19.088;st19.089;;;TRUE
A07.21.002;Внутритканевая лучевая терапия опухолей мужских половых органов;st19.078;;;;;;;;;TRUE
