Код услуги;Наименование услуги;КСГ 1;КСГ 2;КСГ 3;КСГ 4;КСГ 5;КСГ 6;КСГ 7;КСГ 8;КСГ 9;Использовано в КСГ
A16.04.012;Артродез стопы и голеностопного сустава;st29.012;;;;;;;;;TRUE
A16.04.012.002;Артроскопический артродез голеностопного сустава;st29.012;;;;;;;;;TRUE
A16.04.013;Артродез других суставов;st29.012;;;;;;;;;TRUE
A16.04.013.001;Артродез коленного сустава;st29.012;;;;;;;;;TRUE
A16.04.013.002;Артродез тазобедренного сустава;st29.012;;;;;;;;;TRUE
A16.04.014;Артропластика стопы и пальцев ноги;st29.012;;;;;;;;;TRUE
A16.04.015;Артропластика коленного сустава;st29.012;;;;;;;;;TRUE
A16.04.015.001;Артроскопическое восстановление коллатеральных связок коленного сустава;st29.011;;;;;;;;;TRUE
A16.04.015.002;Артроскопическая пластика передней крестообразной связки коленного сустава;st29.013;;;;;;;;;TRUE
A16.04.016;Артропластика кисти и пальцев руки;st29.012;;;;;;;;;TRUE
A16.04.017;Артропластика других суставов;st29.012;;;;;;;;;TRUE
A16.04.017.001;Артропластика тазобедренного сустава;st29.012;;;;;;;;;TRUE
A16.04.017.002;Артроскопическая фиксация передней суставной губы;st29.013;;;;;;;;;TRUE
A16.04.017.003;Артроскопическая фиксация суставной губы по поводу SLAP синдрома плечевого сустава;st29.013;;;;;;;;;TRUE
A16.04.017.004;"Артроскопическая субакроминальная декомпрессия, дебридмент вращающей манжеты плеча плечевого сустава";st29.013;;;;;;;;;TRUE
A16.04.017.005;"Артроскопическая субакроминальная декомпрессия, шов вращающей манжеты плеча, плечевого сустава";st29.012;;;;;;;;;TRUE
A16.04.018;Вправление вывиха сустава;st29.009;;;;;;;;;TRUE
A16.04.018.001;Вправление вывиха нижней челюсти;st29.009;;;;;;;;;TRUE
A16.04.019;Иссечение суставной сумки (синовэктомия);st29.009;;;;;;;;;TRUE
A16.04.019.001;"Артроскопическое иссечение медиопателлярной, инфрапателлярной складки коленного сустава";st29.011;;;;;;;;;TRUE
A16.04.019.002;Артроскопическое иссечение тела Гоффа коленного сустава;st29.011;;;;;;;;;TRUE
A16.04.019.003;Синовэктомия артроскопическая;st29.011;;;;;;;;;TRUE
A16.04.020;Трансплантация сустава;st29.013;;;;;;;;;TRUE
A16.04.021;Эндопротезирование сустава;st29.008;;;;;;;;;TRUE
A16.04.021.001;Эндопротезирование сустава (реэндопротезирование);st29.008;;;;;;;;;TRUE
A16.04.021.002;Эндопротезирование коленного сустава одномыщелковое;st29.008;;;;;;;;;TRUE
A16.04.021.003;Эндопротезирование тазобедренного сустава однополюсное;st29.013;;;;;;;;;TRUE
A16.04.021.004;Эндопротезирование тазобедренного сустава тотальное;st29.008;;;;;;;;;TRUE
A16.04.021.005;Эндопротезирование плечевого сустава;st29.008;;;;;;;;;TRUE
A16.04.021.006;Эндопротезирование коленного сустава тотальное;st29.008;;;;;;;;;TRUE
A16.04.021.007;Эндопротезирование сустава с использованием компьютерной навигации;st29.008;;;;;;;;;TRUE
A16.04.021.008;Эндопротезирование голеностопного сустава;st29.008;;;;;;;;;TRUE
A16.04.021.009;Эндопротезирование межфалангового сустава;st29.008;;;;;;;;;TRUE
A16.04.021.010;Эндопротезирование пястно-фалангового сустава;st29.008;;;;;;;;;TRUE
A16.04.021.011;Эндопротезирование бедренно-надколенного сустава;st29.008;;;;;;;;;TRUE
A16.04.022;Редрессация;st29.009;;;;;;;;;TRUE
A16.04.023;Экзартикуляция;st29.011;;;;;;;;;TRUE
A16.04.023.001;Экзартикуляция пальца кисти;st29.011;;;;;;;;;TRUE
A16.04.023.002;Экзартикуляция пальца стопы;st29.011;;;;;;;;;TRUE
A16.04.024;Менискэктомия;st29.009;;;;;;;;;TRUE
A16.04.024.001;Артроскопическая менискэктомия коленного сустава;st29.011;;;;;;;;;TRUE
A16.04.025;Дискэктомия трансторакальная;st29.012;;;;;;;;;TRUE
A16.04.025.001;Дискэктомия с использованием микрохирургической техники;st29.013;;;;;;;;;TRUE
A16.04.026;Эндопротезирование диафиза;st29.013;;;;;;;;;TRUE
A16.04.027;Эндопротезирование кости тотальное;st29.013;;;;;;;;;TRUE
A16.04.028;Протезирование межпозвонкового диска;st29.013;;;;;;;;;TRUE
A16.04.029;Динамическая фиксация позвоночника;st29.012;;;;;;;;;TRUE
A16.04.030;Пластика позвонка;st29.012;;;;;;;;;TRUE
A16.04.030.001;Вертебропластика;st29.012;;;;;;;;;TRUE
A16.04.031;Удаление тела позвонка с эндопротезированием;st29.013;;;;;;;;;TRUE
A16.04.032;Удаление грыжи межпозвонкового диска;st16.010;;;;;;;;;TRUE
A16.04.032.001;Удаление грыжи межпозвонкового диска с использованием видеоэндоскопических технологий;st16.011;;;;;;;;;TRUE
A16.04.033;Акципитоспондилодез;st29.013;;;;;;;;;TRUE
A16.04.034;Артромедуллярное шунтирование;st29.012;;;;;;;;;TRUE
A16.04.035;Артродез крупных суставов;st29.012;;;;;;;;;TRUE
A16.04.036;Артроскопический релиз плечевого сустава;st29.012;;;;;;;;;TRUE
A16.04.037;Пластика связок сустава;st29.011;;;;;;;;;TRUE
A16.04.037.001;Пластика связок коленного сустава артроскопическая;st29.011;;;;;;;;;TRUE
A16.04.037.002;Пластика собственной связки надколенника;st29.011;;;;;;;;;TRUE
A16.04.037.003;Пластика боковой связки коленного сустава;st29.011;;;;;;;;;TRUE
A16.04.038;Иссечение околосуставной слизистой сумки;st29.010;;;;;;;;;TRUE
A16.04.039;Вскрытие и дренирование синовиальной сумки;st29.010;;;;;;;;;TRUE
A16.04.040;Ригидная фиксация позвоночника;st29.012;;;;;;;;;TRUE
A16.04.041;Трансоральная фиксация позвоночника;st29.012;;;;;;;;;TRUE
A16.04.042;Коррекция деформации позвоночника;st29.013;;;;;;;;;TRUE
A16.04.043;Декомпрессия межпозвоночного диска пункционная;st29.012;;;;;;;;;TRUE
A16.04.044;Ламинопластика;st29.012;;;;;;;;;TRUE
A16.04.045;Рассечение медиопателлярной складки артроскопическое;st29.011;;;;;;;;;TRUE
A16.04.046;Субакромиальная декомпрессия плечевого сустава;st29.011;;;;;;;;;TRUE
A16.04.046.001;Субакромиальная декомпрессия плечевого сустава артроскопическая;st29.011;;;;;;;;;TRUE
A16.04.047;Артроскопическая санация сустава;st29.011;;;;;;;;;TRUE
A16.04.048;Дренирование полости сустава;st29.010;;;;;;;;;TRUE
A16.04.049;Вскрытие сустава (артротомия);st29.010;;;;;;;;;TRUE
A16.04.050;Артроскопический шов мениска;st29.011;;;;;;;;;TRUE
A16.05.002;Спленэктомия;st31.007;;;;;;;;;TRUE
A16.05.002.001;Спленэктомия с использованием видеоэндохирургических технологий;st31.008;;;;;;;;;TRUE
A16.05.003;Эмболия селезеночной артерии;st31.007;;;;;;;;;TRUE
A16.05.004;Иссечение кисты селезенки;st31.007;;;;;;;;;TRUE
A16.05.004.001;Иссечение кист селезенки с использованием видеоэндохирургических технологий;st31.008;;;;;;;;;TRUE
A16.05.005;Резекция селезенки;st31.008;;;;;;;;;TRUE
A16.05.006;Ушивание ран и разрывов селезенки при травме;st31.008;;;;;;;;;TRUE
A16.05.007;Аутотрансплантация селезенки;st31.008;;;;;;;;;TRUE
A16.05.008;Катетерное дренирование кист селезенки под контролем ультразвукового исследования;st31.008;;;;;;;;;TRUE
A16.05.008.001;Транскатетерное лечение кист селезенки под контролем ультразвукового исследования;st31.008;;;;;;;;;TRUE
A16.05.010;Дренирование абсцесса селезенки с использованием видеоэндоскопических технологий;st31.008;;;;;;;;;TRUE
A16.05.010.001;Транскатетерное лечение абсцессов селезенки под контролем ультразвукового исследования;st31.008;;;;;;;;;TRUE
A16.06.001;Трансплантация тимуса;st31.008;;;;;;;;;TRUE
A16.06.002;Экстирпация лимфатических узлов;st19.123;st31.006;;;;;;;;TRUE
A16.06.003;Перевязка грудного лимфатического протока;st31.006;;;;;;;;;TRUE
A16.06.004;Лимфаденэктомия медиастинальная;st31.007;;;;;;;;;TRUE
A16.06.004.001;Лимфаденэктомия медиастинальная с использованием видеоэндоскопических технологий;st31.008;;;;;;;;;TRUE
A16.06.005;Лимфаденэктомия тазовая;st31.006;;;;;;;;;TRUE
A16.06.005.001;Лимфаденэктомия тазовая с использованием видеоэндоскопических технологий;st19.124;st31.008;;;;;;;;TRUE
A16.06.005.004;Лимфаденэктомия пресакральная;st31.006;;;;;;;;;TRUE
A16.06.006;Лимфаденэктомия шейная;st19.123;st31.006;;;;;;;;TRUE
A16.06.006.001;Лимфаденэктомия подмышечная;st19.123;st31.006;;;;;;;;TRUE
A16.06.006.002;Лимфаденэктомия шейная расширенная;st19.123;st31.006;;;;;;;;TRUE
A16.06.006.003;Лимфаденэктомия шейная расширенная с ангиопластикой;st31.008;;;;;;;;;TRUE
A16.06.007;Лимфаденэктомия забрюшинная;st31.007;;;;;;;;;TRUE
A16.06.007.001;Лимфаденэктомия забрюшинная с использованием видеоэндоскопических технологий;st31.008;;;;;;;;;TRUE
A16.06.007.002;Лимфаденэктомия забрюшинная расширенная;st31.008;;;;;;;;;TRUE
A16.06.008;Лимфаденэктомия тазово-забрюшинная;st31.007;;;;;;;;;TRUE
A16.06.009;Лимфаденэктомия абдоминальная;st31.007;;;;;;;;;TRUE
A16.06.009.001;Лимфаденэктомия абдоминальная при злокачественных новообразованиях желудка стандартная I уровня;st31.007;;;;;;;;;TRUE
A16.06.009.002;Лимфаденэктомия абдоминальная при злокачественных новообразованиях желудка расширенная II уровня;st31.007;;;;;;;;;TRUE
A16.06.009.003;Лимфаденэктомия при злокачественных новообразованиях желудка расширенная III уровня;st31.007;;;;;;;;;TRUE
A16.06.010;Операции лимфатического дренирования;st31.006;;;;;;;;;TRUE
A16.06.011;Лимфаденэктомия воротная;st31.006;;;;;;;;;TRUE
A16.06.012;Удаление лимфангиомы;st10.001;st10.002;st31.006;;;;;;;TRUE
A16.06.013;Лимфаденэктомия подчелюстная;st31.006;;;;;;;;;TRUE
A16.06.014;Лимфаденэктомия паховая;st19.123;st31.006;;;;;;;;TRUE
A16.06.014.001;Лимфаденэктомия паховая двухсторонняя;st31.006;;;;;;;;;TRUE
A16.06.014.002;Лимфаденэктомия пахово-бедренная;st31.006;;;;;;;;;TRUE
A16.06.014.003;Лимфаденэктомия пахово-бедренная двухсторонняя;st31.006;;;;;;;;;TRUE
A16.06.015;Лимфаденэктомия бедренная;st31.006;;;;;;;;;TRUE
A16.06.016;Лимфаденэктомия подвздошная;st31.006;;;;;;;;;TRUE
A16.06.016.001;Лимфаденэктомия подвздошная односторонняя;st31.006;;;;;;;;;TRUE
A16.06.016.002;Лимфаденэктомия подвздошная двухсторонняя;st31.006;;;;;;;;;TRUE
A16.06.016.003;Лимфаденэктомия подвздошно-пахово-бедренная (операция Дюкена);st31.007;;;;;;;;;TRUE
A16.06.016.004;Лимфаденэктомия подвздошно-пахово-бедренная (операция Дюкена) двухсторонняя;st31.007;;;;;;;;;TRUE
A16.06.016.005;Лимфаденэктомия подвздошно-обтураторная;st31.007;;;;;;;;;TRUE
A16.06.017;Лимфаденэктомия парастернальная;st31.007;;;;;;;;;TRUE
A16.06.017.001;Лимфаденэктомия парастернальная с использованием видеоэндоскопических технологий;st31.008;;;;;;;;;TRUE
A16.06.018;Удаление вилочковой железы;st31.007;;;;;;;;;TRUE
A16.07.011;Вскрытие подслизистого или поднадкостничного очага воспаления в полости рта;st34.002;;;;;;;;;TRUE
A16.07.012;Вскрытие и дренирование одонтогенного абсцесса;st34.002;;;;;;;;;TRUE
A16.07.014;Вскрытие и дренирование абсцесса полости рта;st34.002;;;;;;;;;TRUE
A16.07.015;Вскрытие и дренирование очага воспаления мягких тканей лица или дна полости рта;st34.003;;;;;;;;;TRUE
A16.07.016;Цистотомия или цистэктомия;st34.003;;;;;;;;;TRUE
A16.07.017;Пластика альвеолярного отростка;st34.003;;;;;;;;;TRUE
A16.07.017.001;Коррекция объема и формы альвеолярного отростка с использованием контракционно-дистракционных аппаратов;st34.004;;;;;;;;;TRUE
A16.07.022;Контурная пластика лица;st34.005;;;;;;;;;TRUE
A16.07.027;Остеотомия челюсти;st34.004;;;;;;;;;TRUE
A16.07.027.001;"Остеотомия скуло-верхнечелюстного комплекса (по Ле Фор III), перемещение фрагмента, остеосинтез титановыми минипластинами";st34.005;;;;;;;;;TRUE
A16.07.029;Удаление аденомы слюнной железы;st34.003;;;;;;;;;TRUE
A16.07.041;Костная пластика челюстно-лицевой области;st34.005;;;;;;;;;TRUE
A16.07.041.001;Костная пластика челюстно-лицевой области с применением биодеградируемых материалов;st34.005;;;;;;;;;TRUE
A16.07.042;Пластика уздечки верхней губы;st34.003;;;;;;;;;TRUE
A16.07.043;Пластика уздечки нижней губы;st34.003;;;;;;;;;TRUE
A16.07.044;Пластика уздечки языка;st34.003;;;;;;;;;TRUE
A16.07.045;Вестибулопластика;st34.003;;;;;;;;;TRUE
A16.07.055;"Синус-лифтинг (костная пластика, остеопластика)";st20.005;;;;;;;;;TRUE
A16.07.061;Хейлопластика;st34.005;;;;;;;;;TRUE
A16.07.061.001;Хейлоринопластика;st34.005;;;;;;;;;TRUE
A16.07.062;Устранение дефекта наружного носа;st34.005;;;;;;;;;TRUE
A16.07.063;Пластика альвеолярного отростка верхней челюсти;st34.005;;;;;;;;;TRUE
A16.07.064;Удаление образований околоушной слюнной железы с выделением и сохранением ветвей лицевого нерва;st34.003;;;;;;;;;TRUE
A16.07.066;Уранопластика;st34.005;;;;;;;;;TRUE
A16.07.067;Удаление слюнной железы;st34.003;;;;;;;;;TRUE
A16.07.067.001;Паротидэктомия радикальная;st34.004;;;;;;;;;TRUE
A16.07.071;Резекция языка;st19.124;st34.005;;;;;;;;TRUE
A16.07.071.001;Резекция языка клиновидная;st34.005;;;;;;;;;TRUE
A16.07.072;Реконструкция языка;st34.005;;;;;;;;;TRUE
A16.07.074;Резекция полости рта;st19.124;st34.005;;;;;;;;TRUE
A16.07.074.001;Резекция дна полости рта комбинированная;st34.005;;;;;;;;;TRUE
A16.07.074.002;Резекция дна полости рта комбинированная с микрохирургической пластикой с использованием видеоэндоскопических технологий;st34.005;;;;;;;;;TRUE
A16.07.075;Формирование оростомы;st34.004;;;;;;;;;TRUE
A16.07.076;Резекция твердого неба;st34.005;;;;;;;;;TRUE
A16.07.077;Резекция губы;st19.123;st34.004;;;;;;;;TRUE
A16.07.077.001;Резекция губы с реконструктивно-пластическим компонентом;st19.124;;;;;;;;;TRUE
A16.07.078;Гемиглосэктомия;st34.004;;;;;;;;;TRUE
A16.07.079;Глосэктомия;st34.004;;;;;;;;;TRUE
A16.07.079.004;Глосэктомия комбинированная;st34.004;;;;;;;;;TRUE
A16.07.080;Резекция околоушной слюнной железы;st34.005;;;;;;;;;TRUE
A16.07.081;Резекция ротоглотки;st34.005;;;;;;;;;TRUE
A16.07.083;Пластика верхней губы;st34.004;;;;;;;;;TRUE
A16.07.083.001;Пластика верхней губы с использованием местных тканей;st34.004;;;;;;;;;TRUE
A16.07.083.002;Пластика верхней губы с использованием имплантата;st34.004;;;;;;;;;TRUE
A16.07.084;Пластика нижней губы;st34.004;;;;;;;;;TRUE
A16.07.084.001;Пластика нижней губы с использованием местных тканей;st34.004;;;;;;;;;TRUE
A16.07.084.002;Пластика нижней губы с использованием имплантата;st34.004;;;;;;;;;TRUE
A16.07.085;Резекция подчелюстной слюнной железы;st34.004;;;;;;;;;TRUE
A16.07.085.001;Резекция подчелюстной слюнной железы с использованием видеоэндоскопических технологий;st34.005;;;;;;;;;TRUE
A16.07.086;Пластика мягкого неба;st34.004;;;;;;;;;TRUE
A16.07.087;Увулопластика;st34.004;;;;;;;;;TRUE
A16.07.088;Иссечение околоушного слюнного свища;st34.004;;;;;;;;;TRUE
A16.07.097;Наложение шва на слизистую оболочку рта;st34.002;;;;;;;;;TRUE
A16.07.098;Пластика местными тканями при косой расщелине лица;st31.005;;;;;;;;;TRUE
A16.08.001;Тонзилэктомия;st20.006;;;;;;;;;TRUE
A16.08.001.001;Тонзилэктомия с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.002;Аденоидэктомия;st20.006;;;;;;;;;TRUE
A16.08.002.001;Аденоидэктомия с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.003;Постановка временной трахеостомы;st20.006;;;;;;;;;TRUE
A16.08.004;Постановка постоянной трахеостомы;st20.006;;;;;;;;;TRUE
A16.08.005;Ларинготомия;st20.006;;;;;;;;;TRUE
A16.08.006;Механическая остановка кровотечения (передняя и задняя тампонада носа);st20.006;;;;;;;;;TRUE
A16.08.006.001;Передняя тампонада носа;st20.006;;;;;;;;;TRUE
A16.08.006.002;Задняя тампонада носа;st20.006;;;;;;;;;TRUE
A16.08.007;Удаление инородного тела глотки или гортани;st20.006;;;;;;;;;TRUE
A16.08.008;Пластика носа;st20.008;;;;;;;;;TRUE
A16.08.008.001;Пластика носа с использованием метода дерматензии;st20.008;;;;;;;;;TRUE
A16.08.008.002;Пластика носа при кифозе;st20.007;;;;;;;;;TRUE
A16.08.008.003;Пластика носа при лордозе;st20.007;;;;;;;;;TRUE
A16.08.008.004;Пластика кончика носа;st20.007;;;;;;;;;TRUE
A16.08.008.005;Пластика сколиозного носа;st20.007;;;;;;;;;TRUE
A16.08.008.006;Контурная пластика носа;st31.005;;;;;;;;;TRUE
A16.08.009;Удаление полипов носовых ходов;st20.006;;;;;;;;;TRUE
A16.08.009.001;Удаление полипов носовых ходов с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.010;Конхотомия;st20.007;;;;;;;;;TRUE
A16.08.010.001;Подслизистая вазотомия нижних носовых раковин;st20.006;;;;;;;;;TRUE
A16.08.010.002;Резекция носовых раковин с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.010.003;Пластика нижних носовых раковин с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.010.004;Шейверная конхотомия с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.011;Удаление инородного тела носа;st20.005;;;;;;;;;TRUE
A16.08.012;Вскрытие паратонзиллярного абсцесса;st20.006;;;;;;;;;TRUE
A16.08.013;Септопластика;st20.006;;;;;;;;;TRUE
A16.08.013.001;Пластика носовой перегородки с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.013.002;Пластика перфорации носовой перегородки;st20.006;;;;;;;;;TRUE
A16.08.014;Репозиция костей носа;st20.006;;;;;;;;;TRUE
A16.08.015;Гальванокаустика нижних носовых раковин;st20.006;;;;;;;;;TRUE
A16.08.016;Промывание лакун миндалин;st20.005;;;;;;;;;TRUE
A16.08.017;Радикальная операция на верхнечелюстных пазухах;st20.007;;;;;;;;;TRUE
A16.08.017.001;Гайморотомия с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.017.002;Микрогайморотомия с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.018;Вскрытие фурункула носа;st20.005;;;;;;;;;TRUE
A16.08.019;Смена трахеостомической трубки;st20.005;;;;;;;;;TRUE
A16.08.020;Закрытие трахеостомы;st20.006;;;;;;;;;TRUE
A16.08.020.001;Деканюляция (удаление трахеотомической трубки);st20.005;;;;;;;;;TRUE
A16.08.021;Трахеотомия;st20.006;;;;;;;;;TRUE
A16.08.022;Кониотомия;st20.006;;;;;;;;;TRUE
A16.08.023;Промывание верхнечелюстной пазухи носа;st20.005;;;;;;;;;TRUE
A16.08.024;Резекция гортани;st19.022;st20.007;;;;;;;;TRUE
A16.08.024.001;Микроэндоларингеальная резекция гортани с использованием видеоэндоскопических технологий;st20.009;;;;;;;;;TRUE
A16.08.024.002;Резекция гортани с реконструкцией посредством имплантата или биоинженерной реконструкцией;st20.009;;;;;;;;;TRUE
A16.08.024.003;Резекция гортани с микрососудистой реконструкцией с использованием видеоэндоскопических технологий;st20.009;;;;;;;;;TRUE
A16.08.024.004;Резекция гортани с микрососудистой реконструкцией;st20.009;;;;;;;;;TRUE
A16.08.025;Пластика гортани;st20.009;;;;;;;;;TRUE
A16.08.026;Имплантация трахео-пищеводного шунта;st20.009;;;;;;;;;TRUE
A16.08.027;Реконструкция трахеостомы;st20.007;;;;;;;;;TRUE
A16.08.028;Бужирование трахеи;st19.022;st20.007;;;;;;;;TRUE
A16.08.029;Реканализация трахеи;st20.007;;;;;;;;;TRUE
A16.08.029.001;Ларингофарингэктомия с реконструкцией перемещенным лоскутом;st20.009;;;;;;;;;TRUE
A16.08.029.002;Ларингофарингэктомия с биоинженерной реконструкцией;st20.009;;;;;;;;;TRUE
A16.08.029.003;Ларингофарингэктомия с микрососудистой реконструкцией;st20.009;;;;;;;;;TRUE
A16.08.029.004;Ларингофарингэктомия с микрососудистой реконструкцией с использованием видеоэндоскопических технологий;st20.009;;;;;;;;;TRUE
A16.08.030;Создание экстратрахеального каркаса;st20.009;;;;;;;;;TRUE
A16.08.031;Хоанотомия;st20.007;;;;;;;;;TRUE
A16.08.031.001;Пластика хоаны с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.032;Резекция трахеи;st19.022;st20.008;;;;;;;;TRUE
A16.08.032.001;Резекция трахеи циркулярная;st20.009;;;;;;;;;TRUE
A16.08.032.002;Резекция трахеи циркулярная расширенная;st20.009;;;;;;;;;TRUE
A16.08.032.003;Резекция трахеи циркулярная комбинированная;st20.009;;;;;;;;;TRUE
A16.08.032.005;Резекция трахеи с использованием видеоэндоскопических технологий;st19.022;st20.008;;;;;;;;TRUE
A16.08.032.006;Резекция бифуркации трахеи;st20.009;;;;;;;;;TRUE
A16.08.032.007;Клиновидная резекция трахеи;st20.009;;;;;;;;;TRUE
A16.08.033;Пластика трахеи;st10.001;st10.002;st20.009;;;;;;;TRUE
A16.08.033.002;Ларинготрахеопластика;st20.009;;;;;;;;;TRUE
A16.08.034;Реконструкция глотки;st20.009;;;;;;;;;TRUE
A16.08.035;Удаление новообразования полости носа;st20.007;;;;;;;;;TRUE
A16.08.035.001;Удаление новообразования полости носа с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.036;Резекция грушевидного синуса;st19.022;st20.007;;;;;;;;TRUE
A16.08.036.001;Резекция грушевидного синуса микроэндофарингеальная;st19.022;st20.008;;;;;;;;TRUE
A16.08.037;Резекция глотки;st19.022;st20.007;;;;;;;;TRUE
A16.08.037.003;Резекция глотки с реконструктивно-пластическим компонентом;st20.008;;;;;;;;;TRUE
A16.08.038;Фарингэктомия;st20.007;;;;;;;;;TRUE
A16.08.038.001;Фарингэктомия комбинированная с реконструктивно-пластическим компонентом;st20.009;;;;;;;;;TRUE
A16.08.039;Фарингостомия;st20.007;;;;;;;;;TRUE
A16.08.040;Удаление новообразования гортани;st19.022;st20.007;;;;;;;;TRUE
A16.08.040.001;Удаление новообразования гортани микрохирургическое;st19.022;st20.008;;;;;;;;TRUE
A16.08.040.002;Удаление новообразования гортани методом ультразвуковой деструкции;st20.008;;;;;;;;;TRUE
A16.08.040.003;Удаление новообразования гортани методом лазерной деструкции;st19.022;st20.008;;;;;;;;TRUE
A16.08.040.004;Удаление новообразования гортани методом радиоволновой деструкции;st20.008;;;;;;;;;TRUE
A16.08.040.005;Удаление новообразования гортани методом аргоноплазменной деструкции;st20.008;;;;;;;;;TRUE
A16.08.040.006;Удаление новообразования гортани с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.040.007;Удаление новообразования голосовой складки эндоларингеальное;st20.008;;;;;;;;;TRUE
A16.08.040.008;Удаление новообразования надгортанника эндоларингеальное;st20.008;;;;;;;;;TRUE
A16.08.041;Удаление рубца гортани;st20.007;;;;;;;;;TRUE
A16.08.041.001;Удаление рубца гортани микрохирургическое;st20.008;;;;;;;;;TRUE
A16.08.041.002;Удаление рубца гортани методом ультразвуковой деструкции;st20.008;;;;;;;;;TRUE
A16.08.041.003;Удаление рубца гортани методом лазерной деструкции;st20.008;;;;;;;;;TRUE
A16.08.041.004;Удаление рубца гортани методом радиоволновой деструкции;st20.008;;;;;;;;;TRUE
A16.08.041.005;Удаление рубца гортани методом аргоноплазменной деструкции;st20.008;;;;;;;;;TRUE
A16.08.042;Удаление новообразования трахеи;st20.009;;;;;;;;;TRUE
A16.08.042.001;Удаление папиллом трахеи микрохирургическое;st20.009;;;;;;;;;TRUE
A16.08.042.002;Удаление новообразования трахеи методом лазерной деструкции;st19.022;;;;;;;;;TRUE
A16.08.042.003;Эндоскопическая лазерная деструкция опухоли трахеи;st19.022;;;;;;;;;TRUE
A16.08.042.004;Эндоскопическое электрохирургическое удаление опухоли трахеи;st19.022;;;;;;;;;TRUE
A16.08.043;Эндоскопическое стентирование трахеи «Т-образной трубкой»;st19.022;;;;;;;;;TRUE
A16.08.049;Эндоскопическое электрохирургическое удаление новообразования полости носа;st19.022;st20.008;;;;;;;;TRUE
A16.08.050;Эндоскопическое электрохирургическое удаление новообразования придаточных пазух;st20.008;;;;;;;;;TRUE
A16.08.051;Эндоскопическое электрохирургическое удаление новообразования гортани;st19.022;st20.008;;;;;;;;TRUE
A16.08.052;Ларингэктомия;st19.022;st20.008;;;;;;;;TRUE
A16.08.052.001;Ларингэктомия расширенная;st19.022;st20.008;;;;;;;;TRUE
A16.08.052.002;Ларингэктомия комбинированная;st20.009;;;;;;;;;TRUE
A16.08.053;Фронтотомия;st20.009;;;;;;;;;TRUE
A16.08.053.001;Фронтотомия эндоскопическая;st20.006;;;;;;;;;TRUE
A16.08.054;Удаление новообразования глотки;st20.006;;;;;;;;;TRUE
A16.08.054.001;Удаление новообразования глотки эндоларингеальное;st19.022;st20.007;;;;;;;;TRUE
A16.08.054.002;Удаление новообразования глотки методом лазерной деструкции;st19.022;st20.007;;;;;;;;TRUE
A16.08.055;Иссечение синехий и атрезий носа;st20.006;;;;;;;;;TRUE
A16.08.055.001;Иссечение синехий и атрезий полости носа с помощью лазера;st20.006;;;;;;;;;TRUE
A16.08.056;Удаление новообразования околоносовых пазух носа;st19.022;st20.007;;;;;;;;TRUE
A16.08.057;Удаление мукоцеле лобной пазухи;st20.006;;;;;;;;;TRUE
A16.08.058;Закрытие ороназального свища;st20.007;;;;;;;;;TRUE
A16.08.058.001;Закрытие ороназального свища местными тканями;st20.007;;;;;;;;;TRUE
A16.08.059;Радикальная операция на лобной пазухе;st20.006;;;;;;;;;TRUE
A16.08.060;Хордопексия (латерофиксация истинных голосовых складок);st20.006;;;;;;;;;TRUE
A16.08.061;Хордэктомия (удаление истинных голосовых складок);st20.006;;;;;;;;;TRUE
A16.08.061.001;Хордэктомия эндоларингеальная;st20.007;;;;;;;;;TRUE
A16.08.062;Удаление новообразования носовой перегородки методом лазерной деструкции;st20.008;;;;;;;;;TRUE
A16.08.063;Лакунотомия лазерная;st20.006;;;;;;;;;TRUE
A16.08.064;Тонзиллотомия;st19.022;st20.006;;;;;;;;TRUE
A16.08.065;Вскрытие и дренирование абсцесса глотки;st20.006;;;;;;;;;TRUE
A16.08.066;Риносептопластика;st20.006;;;;;;;;;TRUE
A16.08.066.001;Риносептопластика с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.067;Вскрытие гематомы верхних дыхательных путей;st20.006;;;;;;;;;TRUE
A16.08.068;Стентирование трахеи;st20.009;;;;;;;;;TRUE
A16.08.069;Пластика фарингостомы;st20.007;;;;;;;;;TRUE
A16.08.070;Вскрытие решетчатой буллы с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.071;Полисинусотомия с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
A16.08.072;Инфундибулотомия с использованием видеоэндоскопических технологий;st20.008;;;;;;;;;TRUE
